Nummer ;Top-Word;Deutsches Label;Englisches Label;Erlaeuterung
1;archiviert;Gesetze & Rechtslage;Laws & Legal Status;Falsche Darstellung der Rechtslage, vermeintliche Gesetezsvorhaben
2;RKI;Corona;Corona;Coronatests und ihre Wirksamkeit, Gefährlichkeit und Herkunft von Corona
3;Gewinnspiel;Datenklau & gefälschte Webseiten;Data Theft & Fake Websites ;Falsche Gewinnspiele, die vor allem zum Daten abgreifen gedacht sind, falsche Webseiten und Social-Media-Beiträge im Allgemeinen
4;Polizei;Verbrechen ;Crimes;Berichterstattung über wahre und erfundene Verbrechen, falsche Täterzuschreibungen (insbesondere Ausländer), Herunterspielen rassistischer und antisemtischer Motivlagen
5;Video;Bilder & Videos;Pictures & Videos;gefälschte oder aus dem Zusammenhang gerissene Bilder und Videos
6;Co;Klimawandel & Energieversorgung;Climate Change & Energy Supply;Leugnung des Klimawandels oder dass Menschen seine Haupttreiber sind, Behauptungen über Energiesicherheit oder Gefahren erneuerbarer Energien
7;Zitat;Zitate;Quotes;Falsche zugeordnete, erfundene oder aus dem Zusammenhang gerissene Zitate, USA und Weltverschwörung
8;Impfung;Impfung ;Vaccination;(Neben-)wirkungen von Corona- und anderen Impfungen, Big Pharma und andere “Profiteure”
9;Masken;Medizin & Gesundheit;Medicine & Health;Vermeintliche Nebenwirkungen und Gefahren des Maskentragens, “Gesundheitstipps” und alternative Heil- und Schutzmaßnahmen gegen Corona, Krebs etc.
10;Ukraine;Russisch-Ukrainischer Krieg;Russo-Ukrainian War;Gründe für den Krieg, Kriegsverlauf, Unterstützung, Leugnung von Kriegsverbrechen
11;Euro;Geld & Einkommen;Money and Income;Ausgaben für Geflüchtete, Sozialleistungen (für Ausländer), Rente, Gehälter von Politikern
12;Prozent;Zahlen & Daten;Numbers & Data;Falsch interpretierte Zahlen und Daten: Corona(-Tote), Ökobilanzen, falsche Kausalzusammenhänge
