"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","0","0","4.0185","0.11","0","0","0","0","0","0","1.8159","0.9621","0.9195","0.2823","0.0855","0.6935","0.8678","0.2335","6.4634","1.3163","0.3329","1.9201","0.5773","1.8457","0.3835","0.7975","5.5435","11.5032","14.3757","10.5022","11.1317","4.7404","8.033","16.8339","7.6687","5.051","2.1271","0.8095","2.1693","2.2977","1.4715","1.6597","1.1227","1.035","0.8764","1.427","2.8451","3.1086","2.7576","4.3602","6.8517","5.7979","7.6919","3.9151","6.8527","1.1116","1.1301","2.4158","2.4148","0.823","1.9658","7.7034","12.9025","10.965","15.0601","12.3572","3.0127","4.1157","12.9674","8.7155","0"
"1",NA,NA,"stabil","verfassten",NA,NA,NA,NA,NA,NA,"pestizide","beginn","dkk","heissen","entgegenzuwirken","global","wwf","aendern","windraeder","dwd","quentin","grad","dicke","arktis","schwer","haustiere","eis","co","co","co","co","co","co","australien","nasa","anlagen","grad","karte","temperaturen","karte","voegel","sommer","co","atmosphaere","rotorblaetter","grad","schnee","palmen","chemtrails","chemtrails","grad","hochwasser","erderwaermung","co","co","audi","kraftwerk","energiewende","gruenbruecken","voegel","methan","erderwaermung","grad","temperaturen","klimawandel","klimawandel","co","tonnen","klimawandel","infraschall",NA
"2",NA,NA,"waechst","°c",NA,NA,NA,NA,NA,NA,"ueberstiegen","helle","europa","council","gleichzeitig","globalen","juan","bewerten","reinhardswald","karte","betonte","rudel","laenge","klimamodelle","chemische","haustieren","antarktis","tonnen","nasa","nasa","universitaet","eisbaeren","klimawandel","braende","klimawandel","windkraftanlagen","klima","voegel","grad","temperaturen","baeume","arktis","ppm","benfordschen","casper","luft","enteisung","erderwaermung","geoengineering","suedpol","temperaturen","co","grad","tonnen","tonnen","rekordfahrt","kraftwerke","stromausfall","co","dwd","tonnen","erde","karte","grad","co","jahren","atmosphaere","gw","erwaermung","klimawandel",NA
"3",NA,NA,"wachstum","µm",NA,NA,NA,NA,NA,NA,"aufgezeigt","meter","gross","analyse","staedten","positiven","regenwald","groesse","windraedern","wetterdienst","deal","wolfsrudels","seit","sommer","phaenomene","tiere","nasa","coemissionen","braende","klimawandel","climate","crockford","victoriafaelle","nasa","eis","umweltbundesamt","treibhausgasemissionen","airbus","channel","berge","erwaermung","eis","messbar","benfordsche","muelldeponie","celsius","temperaturen","katzen","karte","kondensstreifen","co","starkregen","klimawandel","vulkane","vulkan","zdfbeitrag","bundesnetzagentur","stromausfaelle","emissionen","mexikanischen","tanks","tonnen","temperaturen","karte","grad","grad","hektar","steilemann","co","studie",NA
"4",NA,NA,"beseitigung","aachen",NA,NA,NA,NA,NA,NA,"berichteten","bedroht","leichter","klimas","zuerst","sciencefilesorg","stahl","neueren","bebauung","karten","grad","tiere","einfluesse","millionen","substanz","abschalten","grad","grad","sommer","erde","tonnen","atmosphaere","luft","feuer","lesch","grad","celsius","chemikalien","weather","grad","verursacht","ppm","erde","kohlendioxid","vergraben","schnee","winter","winter","atmosphaere","chemikalien","duerre","wasser","erde","amoc","vulkane","motor","grad","lake","energien","portionen","jahrhundert","klimawandel","klimawandel","klimawandel","klimawandels","co","fruchtsaftindustrie","leistung","afp","windkraftanlagen",NA
"5",NA,NA,"coausstoss","aan",NA,NA,NA,NA,NA,NA,"end","bekomme","wert","muslimen","geworden","ursachen","wende","stuetzt","harthun","asien","hektar","geschichte","fasst","jahren","vorhergesagt","atommeiler","jahr","luft","grad","wald","professor","studie","wasser","brandstiftung","arktis","wasser","temperatur","coausstoss","ard","ard","bern","co","schumann","molekuele","bloomberg","chemtrails","axthelm","palme","luft","klima","atmosphaere","klimawandel","celsius","atmosphaere","palma","vorgenommen","atomkraftwerke","stromnetz","tierbruecken","stahl","grad","sonne","erderwaermung","wetterkarten","jahr","atmosphaere","produktionsstopp","stahl","atmosphaere","globale",NA
"6",NA,NA,"de","aap",NA,NA,NA,NA,NA,NA,"entdeckung","benannte","zukunft","zunehmende","bekommt","centre","hessenschau","ulrike","sababurg","kirsche","kalten","gruen","gering","eisfrei","vorhersage","begrenzten","globalen","coausstoss","tonnen","ball","klimawandel","forscher","atmosphaere","klimawandel","jahren","temperaturen","jahre","wissenschaftliche","wetterkarten","celsius","himmel","arktischen","rund","erde","co","temperaturen","wald","windkraftanlagen","ppm","meereis","sommer","ueberschwemmungen","sonne","jahr","la","jahre","celsius","gewaesser","gegenueber","umweltschutz","klejna","erdachse","sonne","karten","pflanzen","see","tonnen","anlagen","grafik","dezibel",NA
"7",NA,NA,"erkenntnis","aargauer",NA,NA,NA,NA,NA,NA,"epoch","geaendert","jahren","beschreibt","°c","chemtrails","etwa","unterscheiden","urwald","seien","mittleren","infrage","katastrophe","kommen","zusammengefasst","beguenstigen","jakobshavngletscher","nanoflowcell","coemissionen","umweltbundesamt","ausbruch","pflanzen","erde","wales","klima","abriss","hitze","archiviert","sommer","stonehenge","global","casper","tanks","klimagase","windkraftanlagen","°c","chemikalien","meter","existenz","antarktis","jahr","kondensstreifen","treibhauseffekt","boers","wasser","km","betreiber","blackout","studie","wissensstand","vwlogo","afp","karten","weizen","klima","erwaermung","voegele","windenergie","klima","co",NA
"8",NA,NA,"express","ab",NA,NA,NA,NA,NA,NA,"ergeben","heran","sei","sogenannten","µm","dauerten","artikel","weder","waldes","anwaelte","warme","schnee","reagierten","zehn","gelbwesten","binnen","kurve","millionen","amazonasgebiet","windkraftanlage","wissenschaftler","epoch","wasserfaelle","south","antarktis","rueckbau","klimaschutz","jahren","farben","tempel","ursache","expedition","cokonzentration","mehr","cokonzentration","kondensstreifen","anlagen","atmosphaere","spruehtechnik","tanks","klimawandel","schweiz","eisbaeren","emissionen","kohlendioxid","erreicht","blackout","bay","coausstoss","aufgewirbelt","karte","buchgeister","sommer","celsius","trockenheit","temperaturen","kohlensaeure","mw","globale","klima",NA
"9",NA,NA,"koennten","abalo",NA,NA,NA,NA,NA,NA,"europaeischem","kenntnisstand","durchaus","gleichzeitig","aachen","entstehen","baeume","frueher","windparks","bloss","zusaetzlicher","staerksten","tieren","ab","irrefuehrend","christ","mittelalter","ipcc","katze","klimakrise","merapi","klimaabkommen","umweltbundesamt","gletscher","eiszeiten","weisshaupt","sonne","giftigen","farbe","pyramiden","rauchwolke","meereis","umweltbundesamt","strahlung","winter","tanks","energien","grad","co","meereises","quarks","luft","atmosphaere","kohlendioxid","millionen","jahr","warburg","energien","erneuerbaren","sommer","erklaerte","inuit","frueher","wind","erderwaermung","klima","baeume","wind","menschengemachten","temperaturen",NA
