"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2001-07-01",35,0,4,0,30,0,1,0,0,24,85,0
"2012-12-01",0,0,0,0,58,0,111,0,0,2,0,7
"2017-04-01",2,59,8,61,0,26,236,89,23,0,28,115
"2017-05-01",3,5,76,42,19,1,50,0,4,31,468,210
"2017-06-01",0,26,0,40,0,0,0,0,0,14,11,38
"2017-07-01",0,0,0,32,0,0,13,2,0,0,46,0
"2017-08-01",0,0,29,76,0,0,3,0,2,33,154,38
"2017-09-01",2,1,49,37,46,0,205,0,0,5,52,17
"2017-11-01",17,0,1,134,109,0,0,3,0,0,0,0
"2018-01-01",0,0,15,32,0,0,0,0,0,0,0,0
"2018-02-01",15,9,56,323,122,44,461,64,542,30,586,171
"2018-03-01",31,154,246,1439,135,36,480,2,175,57,730,257
"2018-04-01",98,13,224,2066,195,50,382,9,295,333,1411,362
"2018-05-01",119,132,365,1383,294,15,1061,96,201,188,1161,299
"2018-06-01",21,18,231,1848,375,6,1084,16,11,1210,1205,994
"2018-07-01",73,7,626,1595,81,43,429,46,4,220,2788,288
"2018-08-01",12,291,121,2164,835,56,222,19,173,38,1711,811
"2018-09-01",5,39,144,2349,150,10,299,2,2,23,1228,32
"2018-10-01",36,20,453,910,304,284,498,2,156,1,1407,323
"2018-11-01",12,17,694,1031,1130,69,565,11,16,217,1215,265
"2018-12-01",976,47,148,753,983,26,214,16,20,63,4013,551
"2019-01-01",57,7,846,1683,573,113,1572,19,5,33,602,375
"2019-02-01",256,98,408,1820,453,32,674,67,63,45,1411,216
"2019-03-01",50,21,454,608,182,94,893,13,53,114,2387,224
"2019-04-01",14,17,432,602,473,16,939,101,163,148,1061,206
"2019-05-01",30,12,444,697,232,46,633,11,30,109,3003,521
"2019-06-01",233,18,661,1589,715,562,2268,25,247,397,2102,1321
"2019-07-01",359,139,1970,4486,1839,2324,1655,137,759,584,3414,2537
"2019-08-01",150,30,1193,2484,1700,1711,1002,21,91,797,1761,962
"2019-09-01",320,25,1453,6681,1332,1876,1954,27,66,505,2507,1117
"2019-10-01",228,51,1285,3137,710,1444,2850,313,732,400,1180,642
"2019-11-01",187,260,1143,2610,750,618,2493,307,990,169,2210,1300
"2019-12-01",223,321,803,2913,1764,1150,1953,995,484,951,1528,1231
"2020-01-01",292,1593,1402,2920,901,2835,2214,161,550,361,2429,1183
"2020-02-01",298,843,1272,3870,761,1351,4381,374,947,369,1902,1249
"2020-03-01",1382,3665,1388,2249,1794,926,962,572,1451,1173,1952,819
"2020-04-01",2116,7784,803,1580,1232,525,1486,607,3148,752,1858,2791
"2020-05-01",2522,5151,702,1428,1162,209,2683,2739,3902,437,1543,3341
"2020-06-01",466,3238,587,2313,1318,347,1072,1725,1358,161,1523,1888
"2020-07-01",2126,4566,1348,3241,3147,586,2644,1650,2567,459,1105,2065
"2020-08-01",1867,5497,1367,3310,3185,453,2635,2259,4748,1040,2208,2215
"2020-09-01",1642,7950,2105,4080,4786,583,3115,1015,3446,1497,2153,2754
"2020-10-01",4104,9876,1335,3425,4204,447,2531,551,6637,254,3154,3295
"2020-11-01",3896,8162,1867,2931,6863,395,4022,1126,2507,711,2377,3307
"2020-12-01",2782,7838,1183,2017,4887,338,3450,3688,5121,861,2558,3842
"2021-01-01",4444,2999,1218,2523,5200,520,2051,5839,5916,544,1684,3502
"2021-02-01",3218,9256,797,2276,4859,1146,2871,5822,3008,341,3196,3490
"2021-03-01",3042,9365,1062,3015,4888,1420,3058,6734,3950,901,3005,5240
"2021-04-01",3374,7031,2428,1542,5237,1167,4969,4576,5460,841,1898,3796
"2021-05-01",2751,3953,2557,1720,3717,1615,2816,7348,1659,2250,3293,3361
"2021-06-01",1624,5001,1599,1809,3138,2558,2456,9414,3978,1022,2246,2489
"2021-07-01",1215,4287,1487,3939,5028,2103,2950,4323,3611,1183,2340,3806
"2021-08-01",1254,5479,2299,1835,3882,2922,2960,5705,2913,2642,4281,1816
"2021-09-01",1829,8470,2564,1371,5542,1757,2989,8846,3115,752,3785,3858
"2021-10-01",1831,6928,1759,2500,5163,2993,2410,9298,2300,359,3235,4900
"2021-11-01",2336,7934,2067,1524,4584,448,2391,9112,3351,630,3122,2802
"2021-12-01",2194,8083,3016,1446,5179,486,3676,10067,2321,480,2604,3452
"2022-01-01",1947,7585,2223,1149,2797,938,2900,11795,1871,517,2548,2558
"2022-02-01",1274,3557,2516,1488,4032,789,2385,5729,1503,4230,2998,2173
"2022-03-01",934,1036,2953,2078,6255,269,1395,2884,1573,10032,1706,1572
"2022-04-01",699,637,3051,1535,5290,682,2758,1066,1316,12773,3166,1721
"2022-05-01",814,1223,2775,1137,3436,2395,3472,2349,1288,5353,4611,2237
"2022-06-01",761,2454,2256,981,3541,4352,4154,3305,959,3947,2366,4654
"2022-07-01",967,1569,2624,1451,7826,4393,3318,3349,1692,5958,3173,3744
"2022-08-01",767,1997,3592,1987,3670,5926,3134,5625,2351,3653,3159,3488
"2022-09-01",1249,1079,4975,1878,3305,4380,3519,2209,1679,4999,3707,2466
"2022-10-01",647,925,3000,1853,4932,996,2738,438,2294,8763,4459,2015
"2022-11-01",1396,1966,2461,2372,5357,1516,3602,2551,2266,6228,5446,1674
"2022-12-01",1020,1630,4741,2572,4775,5719,2949,2639,2295,6578,5939,3246
"2023-01-01",706,531,2301,2587,6614,3368,3921,4332,2725,5287,4230,2042
"2023-02-01",132,0,11,6,0,0,0,1,187,0,85,16
