"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"Proportion (%)","4.7186","11.747","6.2664","8.663","11.4143","5.0598","8.9804","10.4744","7.2849","7.1361","10.0855","8.1696"
"1","archiviert","rki","gewinnspiel","polizei","video","co","zitat","impfung","masken","ukraine","euro","prozent"
"2","oesterreich","covid","foto","mann","afp","klimawandel","gesagt","impfungen","maske","russischen","deutschland","zahlen"
"3","wien","coronavirus","bild","kinder","foto","grad","trump","impfstoff","studie","russland","bundesregierung","zahl"
"4","maskenpflicht","virus","seite","correctiv","bild","temperaturen","aussage","impfstoffe","koerper","ukrainischen","gesetz","daten"
"5","massnahmen","who","angeblichen","frau","sehen","tonnen","merkel","nebenwirkungen","tragen","russische","fluechtlinge","pro"
"6","apa","sarscov","impressum","taeter","zeigt","atmosphaere","interview","covid","viren","ukrainische","bundestag","deutschland"
"7","soeder","infektion","lauterbach","vorfall","aufnahme","klima","satz","daten","zellen","video","eu","jahr"
"8","ueberpruefung","prozent","faelschung","sei","videos","erwaermung","gates","pei","ffpmasken","krieg","afd","anteil"
"9","facebookposting","pcrtests","screenshot","stadt","bilder","erderwaermung","rede","geimpft","afp","selenskyj","gruenen","millionen"
"10","wiener","tests","facebookseite","staatsanwaltschaft","fotos","erde","the","geimpften","blut","putin","gefluechtete","rund"
"11","oesterreichischen","geimpfte","gruenen","berlin","aufnahmen","celsius","biden","impfstoffen","spikeprotein","soldaten","geld","todesfaelle"
"12","impfpflicht","patienten","baerbock","berliner","user","nasa","schwab","coronaimpfung","dna","fotos","erhalten","vergleich"
"13","coronamassnahmen","pandemie","facebook","tat","szene","jahr","angela","ema","luft","foto","kosten","insgesamt"
"14","masken","grippe","echt","worden","demonstration","jahren","zitate","studie","graphenoxid","kiew","muessen","grafik"
"15","einschaetzung","krankheit","daten","pressemitteilung","zeigen","luft","of","todesfaelle","koenne","sehen","staat","statistik"
"16","ueberpruefende","pcrtest","tweet","fall","mann","karte","donald","studien","experten","maerz","artikel","euro"
"17","tragen","studie","plakat","opfer","stammt","sommer","buch","astrazeneca","enthalten","angriff","laender","uebersterblichkeit"
"18","oeffentlichen","infektionen","angebliche","uhr","nutzer","studie","usa","wirksamkeit","universitaet","butscha","milliarden","lag"
"19","posting","corona","webseite","straftaten","proteste","globalen","geaeussert","zulassung","studien","stadt","cdu","mehr"
"20","maske","infiziert","unternehmen","wegen","nutzerinnen","globale","aussagen","covidimpfung","kinder","praesident","bundeswehr","anzahl"
"21","austria","drosten","handelt","maedchen","facebook","umweltbundesamt","wef","moderna","hersteller","videos","urteil","wert"
"22","lockdown","faelle","wurde","jaehrige","geteilt","wasser","archiviert","faelle","rna","waffen","europaeischen","krankenhaeuser"
"23","verordnung","geimpften","satire","polizisten","hunderte","klimawandels","bill","afp","krebs","leichen","recht","weniger"
"24","gilt","positiv","stammt","artikel","medien","afp","angebliche","zusammenhang","wirkung","truppen","spd","statistischen"
"25","gelten","infizierten","logo","kind","erkennen","sonne","jahr","biontech","koennten","russlands","rente","anstieg"
"26","coronavirus","influenza","fake","wurde","twitter","temperatur","joe","pfizer","sei","grenze","beschlossen","liter"
"27","restaurants","test","namen","sachsen","aktuell","grafik","habeck","biontechpfizer","virus","bilder","buerger","bundesamt"
"28","markus","ungeimpften","archiviert","maenner","aufgenommen","einfluss","stammt","paulehrlichinstitut","stoffe","armee","bekommen","betten"
"29","maerz","viren","vermeintlichen","seien","geteilten","windkraftanlagen","afd","impfen","erklaerte","praesidenten","leistungen","intensivbetten"
"30","impfen","geimpft","gefaelschten","junge","telegram","coemissionen","artikel","risiko","bakterien","russischer","anspruch","hoeher"
"31","tweet","robertkochinstitut","artikel","ermittlungen","strasse","menschengemachten","suche","coronaimpfungen","verwendung","polen","regierung","gas"
"32","oevp","menschen","post","jaehrigen","geteilte","emissionen","wort","covidimpfungen","mengen","bild","asylbewerber","liegt"
"33","geimpft","deltavariante","erstellt","email","google","jahre","worte","verdachtsfaelle","menschlichen","usa","arbeit","italien"
"34","schulen","symptome","nutzer","teilte","postings","kohlendioxid","zugeschrieben","impfstoffs","medizinische","afp","ministerium","laendern"
"35","apafaktencheck","coronaviren","gefaelschte","per","tausende","coausstoss","sagte","covidimpfstoffe","tests","wolodymyr","duerfen","laender"
"36","kurz","cdc","seiten","personen","entstanden","energie","uspraesident","klinischen","seien","medien","europaeische","faelle"
"37","coronapandemie","ungeimpfte","fotos","tatverdaechtigen","wurde","ipcc","klaus","datenbank","proteine","wladimir","massnahmen","zeitraum"
"38","duerfen","getestet","gefaelscht","jungen","entstand","verursacht","maas","fda","menge","zeigt","migration","menschen"
"39","regeln","studien","offiziellen","kindern","fand","energien","welt","johnson","video","nachrichtenagentur","kraft","statistische"
"40","oesterreichische","weltgesundheitsorganisation","mimikama","chemnitz","minute","daten","finden","meldungen","gefaehrlich","aufnahmen","verordnung","viele"
"41","derzeit","schutz","finden","faelle","frau","wetter","begriff","zugelassen","ergebnisse","land","gefluechteten","kalenderwoche"
"42","personen","wirksamkeit","zeigt","haetten","youtube","universitaet","frage","zugelassenen","stoff","autos","abgeordneten","deutlich"
"43","şahin","erkrankung","hinweis","ermittelt","fazit","natuerlichen","obama","sicherheit","menschliche","zeigen","grundgesetz","rechnung"
"44","mitarbeiter","daten","hofreiter","fluechtlinge","ebenfalls","chemtrails","belege","todesfaellen","gefahr","worden","gesetze","berechnung"
"45","abstand","robert","beitrag","gewalt","protesten","ppm","zitats","schwere","coronavirus","streitkraefte","deutsche","schweden"
"46","jaenner","impfstatus","erkennen","medien","thunberg","strom","roth","immunsystem","wissenschaftlichen","afghanistan","parlament","gestiegen"
"47","merkel","schweren","unternehmens","anfrage","juli","karten","bundeskanzlerin","prozent","medizinischen","panzer","hoehe","laut"
"48","etwa","todesfaelle","twitter","verletzt","november","wissenschaftler","namen","coronaimpfstoffe","spikeproteine","invasion","schreibt","berechnet"
"49","bayern","ergebnisse","angeblich","schreibt","clip","heute","new","ivermectin","haut","ort","bundesrepublik","werte"
"50","information","personen","links","person","bilderrueckwaertssuche","wind","vermeintliche","impfnebenwirkungen","gesellschaft","taliban","partei","elektroautos"
"51","laender","krankheiten","sharepic","mal","polizei","letzten","politiker","fehlgeburten","gesundheit","angeblich","antrag","jahre"
